0,0.64,0.59,1.0
0.0,0,0.66,0.07
0.0,0.69,0,0.07
0.01,0.64,0.59,0
/,n
0,0.6,0.55,0.9
0.08,0,0.82,0.01
0.08,0.73,0,0.01
0.08,0.27,0.27,0
/,n
0,0.53,0.57,0.0
0.0,0,0.98,0.0
0.0,0.19,0,0.0
1.0,0.97,0.98,0
/,n
0,0.09,0.09,0.0
0.0,0,1.0,0.0
0.0,0.26,0,0.0
1.0,0.86,0.96,0
/,n
0,0.19,0.32,0.0
0.0,0,0.95,0.0
0.0,0.31,0,0.0
1.0,0.97,0.96,0
/,n
0,0.61,0.27,0.0
0.0,0,0.8,0.0
0.0,0.51,0,0.0
1.0,1.0,1.0,0
/,n
0,0.63,0.6,0.92
0.01,0,0.87,0.06
0.01,0.88,0,0.06
0.09,0.26,0.23,0
/,n
0,0.57,0.39,0.0
0.0,0,1.0,0.0
0.0,0.38,0,0.0
1.0,0.98,1.0,0
/,n
0,0.53,0.46,0.0
0.0,0,1.0,0.0
0.0,0.32,0,0.0
1.0,1.0,1.0,0
/,n
0,0.66,0.59,0.58
0.0,0,0.87,0.0
0.0,0.85,0,0.0
0.05,0.49,0.38,0
/,n
0,0.15,0.02,0.0
0.0,0,0.93,0.0
0.0,0.37,0,0.0
1.0,0.94,0.9,0
/,n
0,0.46,0.64,0.0
0.0,0,0.94,0.0
0.0,0.29,0,0.0
1.0,0.88,0.97,0
/,n
0,0.28,0.24,0.0
0.0,0,0.92,0.0
0.0,0.5,0,0.0
1.0,0.97,1.0,0
/,n
0,1.0,1.0,1.0
0.0,0,0.85,0.08
0.0,0.85,0,0.08
0.03,1.0,1.0,0
/,n
0,0.28,0.15,0.0
0.0,0,0.92,0.0
0.0,0.4,0,0.0
1.0,0.95,1.0,0
/,n
0,0.23,0.16,0.97
0.0,0,0.58,0.01
0.0,0.74,0,0.01
0.09,0.28,0.18,0
/,n
0,0.6,0.55,1.0
0.0,0,0.75,0.0
0.0,0.72,0,0.0
0.04,0.49,0.45,0
/,n
0,0.5,0.48,0.0
0.0,0,0.83,0.0
0.0,0.58,0,0.0
1.0,0.98,1.0,0
/,n
0,0.31,0.32,0.97
0.01,0,0.69,0.01
0.01,0.71,0,0.01
0.09,0.38,0.37,0
/,n
0,0.04,0.05,0.55
0.0,0,0.72,0.0
0.0,0.79,0,0.0
0.0,0.0,0.0,0
/,n
0,0.23,0.29,0.0
0.0,0,0.88,0.0
0.0,0.43,0,0.0
1.0,1.0,1.0,0
/,n
0,0.36,0.25,0.94
0.0,0,0.74,0.0
0.0,0.79,0,0.0
0.04,0.13,0.09,0
/,n
0,0.14,0.13,1.0
0.01,0,0.76,0.14
0.01,0.75,0,0.14
0.12,0.05,0.0,0
/,n
0,0.34,0.33,0.56
0.02,0,0.73,0.0
0.02,0.74,0,0.0
0.14,0.0,0.01,0
/,n
